#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_10	4646226	603	N	N	1	*	-110,-109,110,10,-41,-39,40,-41,-39
contig_17	2973183	600	N	N	1	*	-114,115,17,106,-107,-106
contig_65	2069005	603	N	N	1	*	65,66
contig_25	1912545	572	N	N	1	*	*,25,28,-29,28,-29,28,-29
contig_30	1262542	592	N	N	1	*	30,35
contig_108	925506	572	N	N	1	*	*,108,*
contig_11	917063	594	N	N	1	*	11,114,-54,*
contig_117	374074	522	N	N	1	*	117
contig_119	366635	540	N	N	1	*	119
contig_64	353720	596	N	N	1	*	64,-87,-86,-87,-86,-87
contig_79	104703	590	Y	N	1	*	79
contig_67	104125	538	N	N	1	*	67,95,96,-95
contig_120	95008	534	N	N	1	*	120,97,*
contig_63	76451	154	N	N	1	*	63,-115,114,-54,*
contig_62	64706	158	N	N	1	*	*,62,*
contig_118	54316	398	N	N	1	*	118
contig_69	53332	464	N	N	3	*	69,*
contig_2	47769	300	N	Y	1	14	*,2,*
contig_20	38198	420	N	Y	1	26	*,20,*
contig_81	37221	456	N	Y	1	60	*,81,*
contig_70	35460	820	N	Y	3	54	*,70,*
contig_78	35161	234	N	N	1	*	-77,76,78,-76,77,76
contig_54	30314	114	N	Y	1	*	*,54
contig_105	27025	233	N	N	1	*	*,105,*
contig_104	25953	174	N	N	1	*	*,104,*
contig_24	25660	154	N	Y	1	30	*,24,*
contig_90	23430	424	N	Y	1	64	*,90,*
contig_55	22177	290	N	N	1	*	*,55,*
contig_13	21606	290	N	Y	1	*	*,13
contig_36	20193	358	N	N	2	*	36
contig_58	19230	322	N	Y	1	50	*,58,*
contig_26	18264	253	N	Y	1	32	*,26,*
contig_14	18156	841	N	Y	1	*	14
contig_112	18109	318	N	Y	1	38	*,112,*
contig_38	17694	140	N	N	1	*	38
contig_56	17467	637	N	Y	1	48	*,56,*
contig_15	13475	368	N	Y	1	22	*,15,*
contig_3	13067	291	N	N	1	*	*,3,*
contig_43	9978	192	N	Y	1	40	*,43,*
contig_100	9709	892	N	Y	1	72	*,100,*
contig_113	8970	239	N	Y	1	44	*,113,*
contig_32	8896	114	N	Y	1	34	*,32,*
contig_48	3705	122	N	N	8	*	*,48,*
contig_49	3138	210	N	N	210	*	*,49,*
contig_33	3046	132	N	Y	1	36	*,33,*
contig_84	2521	202	N	N	1	*	84
contig_53	2391	118	N	N	118	*	*,53,*
contig_6	642	114	N	Y	1	18	*,6,*
