#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_3	12977	248	N	N	1	both	*	3
contig_10	4595956	537	N	N	1	none	*	-110,-109,110,10,-41,-39,40,-41,-39
contig_11	903221	518	N	N	1	right	*	11,114,-54
contig_17	2948062	531	N	N	1	none	*	-114,115,17,106,-107,-106
contig_25	1883749	505	N	N	1	left	*	25,28,-29,28,-29,28,-29
contig_30	1253911	531	N	N	1	none	*	30,35
contig_36	19638	171	N	N	1	none	*	36
contig_37	16185	193	N	N	1	none	*	37
contig_38	17251	260	N	N	1	none	*	38
contig_48	3642	14	N	N	1	both	*	48
contig_49	3050	0	N	N	1	both	*	49
contig_53	2362	0	N	N	1	both	*	53
contig_55	21061	176	N	N	1	both	*	55
contig_62	62680	134	N	N	1	both	*	62
contig_63	74737	192	N	N	1	right	*	63,-115,114,-54
contig_64	348674	544	N	N	1	none	*	64,-87,-86,-87,-86,-87
contig_65	2046004	535	N	N	1	none	*	65,66
contig_67	102886	490	N	N	1	none	*	67,95,96,-95
contig_68	17233	807	N	N	2	none	*	-66,68
contig_69	51817	149	N	N	1	right	*	69
contig_78	33506	210	N	N	1	none	*	-77,76,78,-76,77,76
contig_79	103696	602	Y	N	1	none	*	79
contig_84	2475	180	N	N	1	none	*	84
contig_102	7602	0	N	N	1	both	*	102
contig_104	25263	218	N	N	1	both	*	104
contig_105	26188	246	N	N	1	both	*	105
contig_108	916252	488	N	N	1	both	*	108
contig_117	373607	449	N	N	1	none	*	117
contig_118	52763	334	N	N	1	none	*	118
contig_119	361402	468	N	N	1	none	*	119
contig_120	93006	448	N	N	1	right	*	120,97
contig_1	37821	70	N	Y	1	both	14	1
contig_2	46362	284	N	Y	1	both	14	2
contig_4	1630	179	N	Y	1	both	16	4
contig_5	3210	318	N	Y	1	both	16	5
contig_6	626	276	N	Y	1	both	18	6
contig_7	6256	232	N	Y	1	both	18	7
contig_8	608	156	N	Y	1	both	20	8
contig_9	1615	338	N	Y	1	both	20	9
contig_12	17499	594	Y	Y	1	none	2	12
contig_13	21587	1649	N	Y	3	left	*	13
contig_14	18150	2174	N	Y	4	none	*	14
contig_15	13032	354	N	Y	1	both	22	15
contig_16	2517	202	N	Y	1	both	22	16
contig_18	2420	439	N	Y	1	both	24	18
contig_19	916	114	N	Y	1	both	24	19
contig_20	36681	285	N	Y	1	both	26	20
contig_21	1892	114	N	Y	1	both	26	21
contig_22	1911	346	N	Y	1	both	28	22
contig_23	2162	243	N	Y	1	both	28	23
contig_24	24875	262	N	Y	1	both	30	24
contig_26	17590	436	N	Y	1	both	32	26
contig_27	27118	75	N	Y	1	both	32	27
contig_31	31018	188	N	Y	1	both	34	31
contig_32	8816	308	N	Y	1	both	34	32
contig_33	3045	514	N	Y	1	both	36	33
contig_34	1003	0	N	Y	1	both	36	34
contig_42	12909	207	N	Y	1	both	38	42
contig_43	9707	272	N	Y	1	both	40	43
contig_44	20643	117	N	Y	1	both	40	44
contig_45	8420	354	Y	Y	1	none	4	45
contig_46	11630	456	N	Y	1	both	42	46
contig_47	19837	131	N	Y	1	both	42	47
contig_50	24802	128	N	Y	1	both	44	50
contig_51	3700	176	N	Y	1	both	46	51
contig_52	7231	232	N	Y	1	both	46	52
contig_54	33724	199	N	Y	1	left	*	54
contig_56	16734	552	N	Y	1	both	48	56
contig_57	579	169	N	Y	1	both	48	57
contig_58	18204	320	N	Y	1	both	50	58
contig_59	2772	158	N	Y	1	both	50	59
contig_60	2710	414	N	Y	1	both	52	60
contig_61	808	182	N	Y	1	both	52	61
contig_70	34737	246	N	Y	1	both	54	70
contig_71	17100	244	N	Y	1	both	54	71
contig_72	4314	196	N	Y	1	both	56	72
contig_73	814	370	N	Y	1	both	56	73
contig_74	3277	176	N	Y	1	both	58	74
contig_75	2639	377	N	Y	1	both	58	75
contig_80	16191	102	N	Y	1	both	60	80
contig_81	36254	410	N	Y	1	both	60	81
contig_82	5716	130	N	Y	1	both	62	82
contig_83	3652	293	N	Y	1	both	62	83
contig_85	15173	328	Y	Y	1	none	6	85
contig_88	18233	295	Y	Y	1	none	8	88
contig_89	5665	312	N	Y	1	both	64	89
contig_90	21854	362	N	Y	1	both	64	90
contig_91	3648	103	N	Y	1	both	66	91
contig_92	940	238	N	Y	1	both	66	92
contig_93	3907	172	N	Y	1	both	68	93
contig_94	1931	266	N	Y	1	both	68	94
contig_98	1242	202	N	Y	1	both	70	98
contig_99	1413	268	N	Y	1	both	70	99
contig_100	9319	1044	N	Y	2	both	72	100
contig_101	9345	298	N	Y	1	both	72	101
contig_103	12827	216	Y	Y	1	none	10	103
contig_111	14659	228	N	Y	1	both	30	111
contig_112	17680	393	N	Y	1	both	38	112
contig_113	11766	198	N	Y	1	both	44	113
contig_116	5534	380	Y	Y	1	none	12	116
